2023-03-05 15:14:13.4664|DEBUG|ScoutEye.Pro|Start
2023-03-05 15:17:29.0721|DEBUG|ScoutEye.Pro|Start
2023-03-05 17:01:07.4742|DEBUG|ScoutEye.Pro|Start
2023-03-05 17:01:40.5572|DEBUG|ScoutEye.Pro|Start
2023-03-05 17:04:10.5671|DEBUG|ScoutEye.Pro|Start
2023-03-05 17:05:13.6445|DEBUG|ScoutEye.Pro|Start
2023-03-12 12:03:15.6939|DEBUG|ScoutEye.Pro|Start
2023-03-12 12:06:12.5267|DEBUG|ScoutEye.Pro|Start
2023-03-12 12:27:29.2844|DEBUG|ScoutEye.Pro|Start
2023-03-12 12:28:35.8099|DEBUG|ScoutEye.Pro|Start
2023-03-12 12:32:12.8780|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:03:52.1695|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:04:20.0271|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:12:09.4856|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:14:06.1847|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:14:54.2277|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:15:43.3033|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:16:28.6318|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:17:26.8588|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:20:11.7853|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:20:49.1894|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:35:59.8139|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:36:57.1555|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:41:26.2859|DEBUG|ScoutEye.Pro|Start
2023-03-12 13:41:47.1678|DEBUG|ScoutEye.Pro|QR Code made
2023-03-12 13:41:47.1981|DEBUG|ScoutEye.Pro|Match data logged
2023-03-12 13:41:47.2021|DEBUG|ScoutEye.Pro|Match Reset
2023-03-12 13:41:47.2021|DEBUG|ScoutEye.Pro|NextMatch
2023-03-12 13:41:47.2021|DEBUG|ScoutEye.Pro|Match entered
